Tweet_count,Username,Text,Created At,Retweets,Likes
26,Le Maine Libre,« Je travaille depuis que j’ai 13 ans » : ce passionné de football ouvre un nouveau fast-food | Le Maine Libre https://t.co/gDny5zYRTb,Mon Feb 10 07:32:44 +0000 2025,0,2
27,𝑳’𝑩𝒐𝒏𝒗𝒊𝒆𝒖 🇹🇳,Tjr bon de rappeler que Quick est le meilleur fast-food,Wed Feb 19 14:08:49 +0000 2025,0,4
28,Ryo 🇺🇦 👊 🇪🇺,"La rue 🇺🇸 commence à sortir de sa torpeur ! Ils découvrent que voter pour #Trump c’est comme manger du fast-food périmé. Ça semblait être une bonne idée sur le moment, mais maintenant ils vomissent en chœur #FThePresident #MAGARegrets https://t.co/zCkXcKx4bV",Tue Feb 18 01:13:19 +0000 2025,0,6
29,Marina Mesure,"Bonheur de retrouver Kamel à L’après M, fast food engagé dans les quartiers Nord de #Marseille ! 
 
Ce lieu de lutte et de solidarité est bien plus qu’un simple fast food : pôle d’aide alimentaire, événements culturels, permanence d’aide juridique et lieu de vie précieux pour les https://t.co/H8kbV2xwmZ",Sat Feb 15 08:00:53 +0000 2025,67,177
30,Valerie Niquet,ÇA c’est Paris 🤮 Place St Augustin #Berteil remplacé par un fast food…. https://t.co/dNWUxhoURz,Mon Feb 17 10:54:51 +0000 2025,0,0
31,Home Cooking VS Fast Food,"[homemade] Conch Ceviche
👉 https://t.co/J4kfnLdrNE
#ConchCeviche #HomemadeDeliciousness #SeafoodLovers #TropicalFlavors #CevicheRecipe #homecooking #food #recipes #foodpic #foodie #foodlover #cooking #hungry #goodfood #homecookingvsfastfood https://t.co/sgvHmlyRQd",Thu Feb 20 14:05:22 +0000 2025,3,4
32,Télégramme St-Brieuc,"Un fast-food NBK Naanerie ouvre ses portes à Saint-Brieuc ce samedi 15 février
➡️ https://t.co/pE7eWcd4Pb https://t.co/Hquyhhcbf8",Fri Feb 14 17:00:30 +0000 2025,0,0
33,LCI,"Selon une étude, les embouteillages augmenteraient vos envies de fast-food https://t.co/9JNfUyMDIy",Tue Feb 18 07:06:33 +0000 2025,1,16
34,Nabil,"Quel indécence, vous fréquentez bien des fast-food comme McDo, KFC ou vous mangez bien de la nourriture issue d’une autre culture mais vous vous insurgez d’un commerce de Français qui vend des produits issus d’un autre pays. Vous êtes contre la mondialisation ? @DamienRieu",Mon Feb 17 17:20:25 +0000 2025,0,3
35,Flo 🧙‍♂️,"Pourquoi ton métabolisme est lent ( et pourquoi l’accélérer )

Beaucoup d'hommes sont fatigués toute la journée, même avec 8h de sommeil

Le problème ? Leur métabolisme tourne au ralenti

Pourquoi ?
👉 Mange régulièrement au fast-food / produits transformés
👉 Consomme des huiles",Tue Feb 11 16:00:01 +0000 2025,2,11
36,LMB31,mon argent il part que dans des fast food c’est trop grave,Wed Feb 12 02:09:55 +0000 2025,2,2
37,n,les gens qui mangent des fast food dans les trains je vais écrire un livre,Fri Feb 14 18:07:15 +0000 2025,0,2
38,Nantes hype™ ☆,"Maeva et Jamal porteurs du projet annulé de fast-food Devor et dégage (créateurs de Mangez et barrez-vous à Toulouse, qui ne souhaitent pas que leur nom de famille apparaisse) confirment à @OuestFrance un projet de prêt à porter Place du commerce à #Nantes https://t.co/KfEvO9WxDv https://t.co/yuWxZxDEpA",Tue Feb 18 23:25:49 +0000 2025,0,1
39,TYNA NONYME,"@CerfiaFR Une Niçoise test son Projet  Fast Food Canin sur la Croisette 
Menu unique : Lapin",Thu Feb 20 06:11:34 +0000 2025,1,18
40,Kateri Seraphina,"Plage  en 1970 : pas de fast-food, pas de téléphones, pas de transats ni de  crèmes solaires. On parlait, on profitait. Peu de choses, mais tout  était là . https://t.co/qllzctLTFR",Tue Feb 18 10:16:54 +0000 2025,4,38
41,Salomon🇩🇿🇵🇸🏴‍☠️,Le fast food le plus connu d’idf est à moins de 10 minutes de chez moi https://t.co/I2Tc0VoboU,Sun Feb 16 16:34:48 +0000 2025,0,4
42,𝐁𝐍,Je rentre dans un fast food je vois y’a que des raclis elles savent plus faire à manger ou quoi mdrrr c’est quoi ces conneries,Sun Feb 09 19:08:39 +0000 2025,31,143
43,Fanm’Fo 🇸🇳,"Chicken Street, Point B, G la dalle c’est vraiment les pires fast-food dans mon livre",Mon Feb 10 14:19:11 +0000 2025,2,4
44,ⵣ عمار,Leur génération ils toujours travaillé la terre. Ils ont jamais mangé de fast-food.,Wed Feb 12 09:16:20 +0000 2025,0,7
45,bi gorneau ✨,"Parfois j'ai l'impression d'avoir une faim de bite comme on aurait une faim d'un fast food. 
Comme si ça allait me rassasier d'en avoir une grosse en bouche.
Je suis vraiment une tchoin",Thu Feb 13 12:16:04 +0000 2025,6,184
46,🌾,Quand est-ce qu’on va lâcher cette tendance à la polémique fast food sur fond d’injonctions morales personnelles pour un minimum intellectualiser le débat et le faire reposer sur des bases plus solides que vos réactions émotionnelles et votre besoin de validation ?,Thu Feb 13 00:56:03 +0000 2025,24,104
47,-,"purée je sais pas quoi manger, vous me conseillez quoi en terme de fast food ?",Tue Feb 11 17:13:05 +0000 2025,0,4
48,Sasquatch,@Reinfocovid D'ici une heure je suis au fast food. Et ce soir ça sera encore des friandises et energy drink à la weed. J'vais redevenir une bestiole des bois. Quoi qu'il en coûte comme dirait l'autre tard-loose de l'Elysée. https://t.co/U6WE1Hoktj,Sat Feb 15 17:03:13 +0000 2025,0,2
49,jagwar,@CoolTheCucumber Le mieux c'est d'encourager la création de fast food 100% marocain,Sat Feb 22 14:51:26 +0000 2025,0,6
50,Alex Perron,J'ai quand même fait ma part pour le Superbowl sans le regarder... J'ai mangé du fast-food en masse !,Mon Feb 10 10:33:55 +0000 2025,3,100
51,Reef Windsurfing,@knky987 une fois n'est pas coutume je suis d'accord avec toi. Il faudrait bannir les fast-food de Calédonie,Thu Feb 20 05:07:23 +0000 2025,0,4
52,𒉭,@Kr0nnossss Tu manges des coquillettes au caca frero je préfère les Fast food,Wed Feb 19 10:19:28 +0000 2025,0,11
53,Remysterio,"Le fast-food Popeyes comment c'est grave surcoté, je suis pas prêt d'y retourner",Thu Feb 13 12:32:53 +0000 2025,0,3
54,🇲🇦’,purée comme de par hasard ça arrive dans ma TL je donne vrmt tout pour ce fast food #gourmandeaumax,Fri Feb 07 17:28:15 +0000 2025,0,7
55,Tnx.,"@mds7519 Senadinho c'est vraiment le prototype des jeunes de maintenant, comment on peut penser qu'acheter un tacos au fast food du coin est plus rentable que de le faire soi-même 😮‍💨😮‍💨",Sun Feb 16 19:30:08 +0000 2025,0,2
56,MSN France,"6 mannequins qui ont été repérées dans des fast-food, de Gisele Bündchen à Lily Cole
https://t.co/4XLQtFOEmW",Mon Feb 10 14:02:32 +0000 2025,0,0
57,pass or shams,c’est le fast food avec le plus de baraka que j’ai vu de ma vie mdrrrr c’est incroyable Allah y berek je suis trop content pr lui comme si je le connaissais,Wed Feb 12 18:43:06 +0000 2025,0,18
58,Daughter of Cain,"@Zanthar_the_ONE @HarmlessYardDog donc ça vient d’où le mot cuisine ? 

Ne confondez pas fast-food et haute cuisine, l’un est dans tes moyens et tes goûts l’autre non.",Sat Feb 22 17:53:08 +0000 2025,0,90
59,Missmelibaby 🏁,"Franchement les gens qui tapent des Fast food ou de la junk food everyday, je ne sais pas comment vous allez être à 50 piges. L’état de vos artères… ça va être un carnage vous vous rendez pas compte",Thu Feb 13 16:08:30 +0000 2025,0,3
60,ici Drôme Ardèche,"#Romans-sur-Isère : le #McDonalds quartier de la Monnaie caillassé, le #fastfood doit fermer pour la soirée #Police #Drome
➡️ https://t.co/D4TVhdiuEQ https://t.co/fRP9SjOAAK",Sat Feb 15 08:53:00 +0000 2025,0,1
61,Yassss🇨🇳,"@legoatchauve4 ""Est-ce que vous aussi avant de vous installer quelques part / emménager etc… vous vous informez sur les fast-food qu’il y’a autour  ? Ou c’est que moi"" https://t.co/BxZS08pLPS",Thu Feb 20 17:31:50 +0000 2025,0,3
62,3ammo Gordon,"Le jour où vous allez apprendre à faire à manger chez vous, vous allez découvrir un nouveau monde mdrr tu peux tout faire c tellement mieux que les resto ou fast food",Fri Feb 14 13:49:04 +0000 2025,1,6
63,Bajio 🇮🇹🇭🇹,Je mange plus de fast food jusqu’à la fin du ramadan,Fri Feb 14 10:29:45 +0000 2025,0,10
64,Nice-Matin,"L’enseigne francilienne de burgers Alfred Burger vient d’ouvrir un restaurant à Nice. Le premier dans le Sud et d’une longue série, espère son franchisé.
👉 https://t.co/dqpESK4TsV https://t.co/Y5YmVJcniW",Wed Feb 19 11:23:21 +0000 2025,0,2
